探索深度,思考時間,探索ノード数,探索速度,カット数,ハッシュ記録数,ハッシュヒット数,2ndハッシュ記録数,2ndハッシュヒット数,ハッシュ衝突数,推定CPUスコア,着手位置
C4E3F5G6G5G4H5C6D3C3F3G3G2H1F7
10,0.00,6716,3358000.00,71,2655,434,49,0,2292,7.73,H5
9,0.00,2469,2469000.00,833,955,83,34,0,10,-8.00,B4
10,0.00,7312,7312000.00,2565,2839,300,77,0,21,8.00,H5
9,0.00,2469,inf,833,955,83,34,0,10,-8.00,B4

E6F4D3C6D6F6F3D2G4E3C4B5B7H4H5F2G6E7H3H6F8D7C7D8H7B6E2B8F5G2C2E1A8D1A6A5B3B4C8A7H1G5F1G1C5B1B2A4A2G7
8,0.00,4044,4044000.00,78,811,218,13,0,1620,11.62,A3
8,0.00,2973,inf,75,749,224,27,0,1090,-9.73,C3
10,0.00,6248,3124000.00,107,2327,477,110,0,2028,11.72,A3
9,0.00,3154,3154000.00,1023,1236,68,75,0,20,-12.00,C1
10,0.00,5921,2960500.00,1992,2347,212,138,0,51,12.00,A3
9,0.00,3154,3154000.00,1023,1236,68,75,0,20,-12.00,C1

C4C5E6E3C6B6D3D6A7B4F2F5G4A6A5F3A4C2B1C3B7F7D7B8G2E7E8C7B3C1G7E2D2F8D1F6B5E1G8D8G6G3C8H6F4A3A2A1H3H4
8,0.00,2119,inf,43,480,102,10,0,826,-2.17,A8
8,0.00,2768,2768000.00,32,706,188,27,0,1097,4.15,B2
10,0.00,2690,2690000.00,23,1035,164,62,0,901,-3.90,A8
9,0.00,2637,2637000.00,849,1004,59,61,0,32,4.00,H1
10,0.00,3128,3128000.00,1053,1235,76,81,0,62,-4.00,A8
9,0.00,2637,inf,849,1004,59,61,0,32,4.00,H1

F5F4C3C4C5D6F3G4H5G5E6G2D7E7F6B5A5H6H7H4D3C7E8D8F7B4E2G7C6D2D1E1B7B6A3G3H3A4C8B8H1F8E3F1G1A2B2C1G6A6
8,0.00,4058,4058000.00,169,751,72,12,0,1439,28.70,B3
8,0.00,1817,inf,26,498,68,15,0,715,-28.41,H2
10,0.00,6953,3476500.00,123,2513,353,84,0,2524,28.55,A8
9,0.00,2238,inf,675,741,96,25,0,20,-28.00,A7
10,0.00,7959,3979500.00,2794,2842,272,130,1,85,28.00,A8
9,0.00,2238,inf,675,741,96,25,0,20,-28.00,A7

